level_0,Time,C6_avg,psi6,V,S-2,S-1,S0
526,509.9999,3.16,0.18225,2.0,0.0,0.0,0.0
528,529.9999,3.31333,0.19191,2.0,0.0,0.0,0.0
529,539.9999,3.14,0.14864000000000002,2.0,0.0,0.0,0.0
530,549.9999,3.14667,0.18477,2.0,0.0,0.0,0.0
532,569.9999,3.2866699999999995,0.22106,2.0,0.0,0.0,0.0
533,579.9999,3.48667,0.19168,2.0,0.0,0.0,0.0
536,609.9999,3.5733300000000003,0.34168000000000004,2.0,0.0,0.0,0.0
537,619.9999,3.5533300000000003,0.27243,2.0,0.0,0.0,0.0
538,629.9999,3.22,0.2022,2.0,0.0,0.0,0.0
540,649.9999,3.11333,0.23832,2.0,0.0,0.0,0.0
542,669.9999,3.45333,0.22383000000000006,2.0,0.0,0.0,0.0
551,759.9999,3.05333,0.15572,2.0,0.0,0.0,0.0
555,799.9999,3.14,0.14570999999999998,2.0,0.0,0.0,0.0
556,809.9999,3.16,0.14084000000000002,2.0,0.0,0.0,0.0
557,819.9999,3.2866699999999995,0.15787,2.0,0.0,0.0,0.0
558,829.9999,3.22667,0.21405,2.0,0.0,0.0,0.0
560,849.9999,3.29333,0.20227,2.0,0.0,0.0,0.0
562,869.9999,3.17333,0.20063,2.0,0.0,0.0,0.0
564,889.9999,3.52667,0.28604,2.0,0.0,0.0,0.0
569,129.9999,4.04667,0.42304,2.0,1.0,1.0,0.0
574,179.9999,3.42,0.29439,2.0,1.0,0.0,0.0
576,199.9999,3.4733300000000003,0.2597,2.0,1.0,0.0,0.0
578,219.9999,3.58,0.36087,2.0,1.0,0.0,0.0
579,229.9999,3.4933300000000003,0.30537,2.0,1.0,0.0,0.0
581,249.9999,3.44,0.28158,2.0,0.0,0.0,0.0
582,259.9999,3.5933300000000004,0.26568,2.0,0.0,0.0,0.0
584,279.9999,3.48,0.28316,2.0,0.0,0.0,0.0
586,299.9999,3.52,0.31032,2.0,0.0,0.0,0.0
587,309.9999,3.26,0.30264,2.0,0.0,0.0,0.0
588,319.9999,3.32,0.3499,2.0,0.0,0.0,0.0
589,329.9999,3.32,0.30217,2.0,0.0,0.0,0.0
590,339.9999,3.32667,0.27346,2.0,0.0,0.0,0.0
591,349.9999,3.2,0.27794,2.0,0.0,0.0,0.0
592,359.9999,3.33333,0.29513,2.0,0.0,0.0,0.0
593,369.9999,3.26,0.25706,2.0,0.0,0.0,0.0
594,379.9999,3.21333,0.26242,2.0,0.0,0.0,0.0
595,389.9999,3.21333,0.25942,2.0,0.0,0.0,0.0
596,399.9999,3.45333,0.27329000000000003,2.0,0.0,0.0,0.0
597,409.9999,3.43333,0.20659,2.0,0.0,0.0,0.0
600,439.9999,3.61333,0.22749,2.0,0.0,0.0,0.0
601,449.9999,3.4733300000000003,0.12813,2.0,0.0,0.0,0.0
603,469.9999,3.34667,0.25353000000000003,2.0,0.0,0.0,0.0
605,489.9999,3.36667,0.23792,2.0,0.0,0.0,0.0
606,499.9999,3.39333,0.25529,2.0,0.0,0.0,0.0
608,519.9999,3.36,0.25031,2.0,0.0,0.0,0.0
614,579.9999,3.2,0.14351,2.0,0.0,0.0,0.0
616,599.9999,3.19333,0.0713,2.0,0.0,0.0,0.0
620,639.9999,3.27333,0.19362,2.0,0.0,0.0,0.0
621,649.9999,3.11333,0.20592,2.0,0.0,0.0,0.0
622,659.9999,3.17333,0.21913,2.0,0.0,0.0,0.0
627,709.9999,3.36,0.30424,2.0,0.0,0.0,0.0
628,719.9999,3.44,0.38605,2.0,0.0,0.0,0.0
629,729.9999,3.04,0.24543,2.0,0.0,0.0,0.0
631,749.9999,3.32,0.28469,2.0,0.0,0.0,0.0
634,779.9999,3.06,0.22964,2.0,0.0,0.0,0.0
639,829.9999,3.27333,0.2046,2.0,0.0,0.0,0.0
